,cs137,xe135,is_fuel
0,0.0,0.0,0
1,5.78617773053501e-05,2.95927231974263e-08,1
2,6.36097922924013e-05,2.8853539053045e-08,1
3,5.67391361913281e-05,3.16617058274851e-08,1
4,5.69502544917565e-05,3.1550282844878e-08,1
5,5.26879447100447e-05,3.29974645517064e-08,1
6,0.0,0.0,0
7,5.11851517659522e-05,3.43993074196147e-08,1
8,0.0,0.0,0
9,5.66767032003839e-05,3.24267063031085e-08,1
10,5.72115512320079e-05,3.13042488273784e-08,1
11,0.0,0.0,0
12,0.0,0.0,0
13,5.74202952783451e-05,3.05426863088331e-08,1
14,0.0,0.0,0
15,0.0,0.0,0
16,2.82865631568467e-06,5.33896076662775e-08,1
17,0.0,0.0,0
18,0.0,0.0,0
19,0.0,0.0,0
20,0.0,0.0,0
21,5.50689532440907e-05,3.16232188525801e-08,1
22,0.0,0.0,0
23,5.96484076989071e-05,3.18159049082654e-08,1
24,5.73287129107084e-05,3.02914014839074e-08,1
25,0.0,0.0,0
26,4.40029847253191e-05,3.77276127948573e-08,1
27,5.82309861193458e-05,3.18437355275131e-08,1
28,6.36992510132529e-05,2.9635913940358e-08,1
29,5.91439208590877e-05,3.17892150297258e-08,1
30,5.84894005195432e-05,3.23654742351867e-08,1
31,5.99136021319517e-05,3.14428479948368e-08,1
32,5.68156881907173e-05,3.23643415047337e-08,1
33,5.92869601955251e-05,3.09185975506148e-08,1
34,3.62805660792968e-05,4.32457200379716e-08,1
35,0.0,0.0,0
36,5.77254956659333e-05,2.92048316545211e-08,1
37,0.0,0.0,0
38,0.0,0.0,0
39,5.94450613642452e-05,3.19167303686252e-08,1
40,5.44037691812414e-05,2.98491560010481e-08,1
41,0.0,0.0,0
42,5.67450989804314e-05,3.16031319919826e-08,1
43,0.0,0.0,0
44,5.72115512320079e-05,3.13042488273784e-08,1
45,5.73287129107084e-05,3.02914014839074e-08,1
46,0.0,0.0,0
47,0.0,0.0,0
48,5.9195436697861e-05,3.21029515914424e-08,1
49,0.0,0.0,0
50,6.00607133564669e-05,3.14500148756889e-08,1
51,6.27003302769728e-05,2.99338635621454e-08,1
52,5.88428928095276e-05,3.16447460355813e-08,1
53,5.74202952783451e-05,3.05426863088331e-08,1
54,6.3701486697222e-05,2.9324421115092e-08,1
55,6.63834611933816e-05,2.79874564116088e-08,1
56,7.69460289336092e-06,5.59623427333911e-08,1
57,2.61640040831835e-05,4.59005694652708e-08,1
58,0.0,0.0,0
59,0.0,0.0,0
60,6.13525642494749e-05,3.10509845713067e-08,1
61,5.6040920372527e-05,3.17048549758072e-08,1
62,4.40029847253191e-05,3.77276127948573e-08,1
63,8.94922318898252e-06,5.53351301282055e-08,1
64,5.73280471938015e-05,3.08537541649317e-08,1
65,5.66993739463143e-05,3.15743885832528e-08,1
66,6.0022466360253e-05,3.13882709713691e-08,1
67,5.87411444098132e-05,3.18324501310444e-08,1
68,5.62402383471745e-05,3.1835990255549e-08,1
69,6.08694508704212e-05,3.16971086893807e-08,1
70,3.19316413449855e-05,3.97909167394508e-08,1
71,0.0,0.0,0
72,0.0,0.0,0
73,5.99750894798061e-05,3.16249404448286e-08,1
74,0.0,0.0,0
75,5.7148948051449e-05,3.18097274518203e-08,1
76,6.06076349361339e-05,3.08775172721777e-08,1
77,0.0,0.0,0
78,0.0,0.0,0
79,0.0,0.0,0
80,0.0,0.0,0
81,0.0,0.0,0
82,0.0,0.0,0
83,0.0,0.0,0
84,5.26879447100447e-05,3.29974645517064e-08,1
85,0.0,0.0,0
86,6.5387795999021e-05,2.80964740795757e-08,1
87,5.63408790017567e-05,3.20859584604885e-08,1
88,0.0,0.0,0
89,0.0,0.0,0
90,0.0,0.0,0
91,0.0,0.0,0
92,5.92869601955251e-05,3.09185975506148e-08,1
93,0.0,0.0,0
94,5.99750894798061e-05,3.16249404448286e-08,1
95,3.58562046001783e-05,4.13123923896948e-08,1
96,5.72115512320079e-05,3.13042488273784e-08,1
97,3.88839483542485e-05,3.84846807797147e-08,1
98,2.82865631568467e-06,5.33896076662775e-08,1
99,0.0,0.0,0
100,5.65993041202755e-05,3.1758068581812e-08,1
101,5.77254956659333e-05,2.92048316545211e-08,1
102,5.42553288910754e-05,3.01845530613982e-08,1
103,6.18140420212275e-05,2.85085746030048e-08,1
104,3.09778179765737e-05,4.25057219189481e-08,1
105,0.0,0.0,0
106,5.70294588233849e-05,3.1428548291585e-08,1
107,0.0,0.0,0
108,0.0,0.0,0
109,3.19316413449855e-05,3.97909167394508e-08,1
110,5.8052882673341e-05,3.02238721815151e-08,1
111,2.79950866830389e-05,4.83562737832926e-08,1
112,0.0,0.0,0
113,2.26134528685071e-05,4.7887605108588e-08,1
114,5.44037691812414e-05,2.98491560010481e-08,1
115,5.42004398956349e-05,3.11916858951647e-08,1
116,0.0,0.0,0
117,0.0,0.0,0
118,0.0,0.0,0
119,0.0,0.0,0
